ticker,cycle,entry,window,return_k0_c0,return_k0_c0_straddle,difference,u,g,theory,wing_gap,u_bin,g_bin
SLV,53,2013-04-22,estimation,0.2911214280881365,0.03740439890695889,0.2537170291811776,0.9097696390331472,1.3267348634536307,0.28592171062945493,0.28272093392035424,"(0.838, 0.954]","(1.263, 1.784]"
SLV,54,2013-05-20,estimation,0.14827919233416215,0.09365922653739146,0.054619965796770684,1.0867699694203037,1.2494015759867105,0.14146224039726096,0.22266469747137488,"(0.954, 1.099]","(1.181, 1.263]"
SLV,55,2013-06-24,estimation,-0.06610855697552284,-0.11414937725730334,0.0480408202817805,1.1546375774834674,1.3781277908426308,0.18724693040730833,0.32072590475225193,"(1.099, 2.982]","(1.263, 1.784]"
SLV,56,2013-07-22,estimation,0.08733219620769224,-0.12435551649751979,0.21168771270521203,0.9678023385904863,1.2454342528296851,0.21574227243033284,0.21948426655454265,"(0.954, 1.099]","(1.181, 1.263]"
SLV,58,2013-09-23,estimation,0.6548111530021988,0.5803905912620704,0.07442056174012845,0.5939712949601766,1.217543628454458,0.3042059912851752,0.19683540979208272,"(0.377, 0.729]","(1.181, 1.263]"
SLV,59,2013-10-21,estimation,0.6007790355512518,0.2605580384115598,0.340220997139692,0.665721450124639,1.2364107337882626,0.3072766089041418,0.21221261272330905,"(0.377, 0.729]","(1.181, 1.263]"
SLV,60,2013-11-18,estimation,0.09625300243032293,-0.1251674632404249,0.22142046567074786,1.048448104858907,1.244388087708213,0.16508748815073204,0.21864391327631444,"(0.954, 1.099]","(1.181, 1.263]"
SLV,62,2014-01-21,estimation,0.2916909004751027,0.10223157073188556,0.18945932974321716,0.9593804947234701,1.2898893524373156,0.2458224426962291,0.25455644139043404,"(0.954, 1.099]","(1.263, 1.784]"
SLV,63,2014-02-24,estimation,0.40929666750550825,0.022021975095641244,0.387274692409867,0.8148734731387299,1.3120009472859182,0.3087619656746504,0.2715534125383426,"(0.729, 0.838]","(1.263, 1.784]"
SLV,64,2014-03-24,estimation,0.8248999292529687,0.7168236342910387,0.10807629496193005,0.37836068331617145,1.2817310414798428,0.2666704752720593,0.24821154045064703,"(0.377, 0.729]","(1.263, 1.784]"
SLV,66,2014-05-19,estimation,0.34303122488867543,0.27339133636601193,0.0696398885226635,0.872248722330596,1.2471876786631797,0.2622219824714809,0.22089115951376842,"(0.838, 0.954]","(1.181, 1.263]"
SLV,67,2014-06-23,estimation,0.542649282161482,0.3499368356691476,0.19271244649233443,0.7651189194256917,1.389811331956127,0.34390566018481944,0.32916800552445974,"(0.729, 0.838]","(1.263, 1.784]"
SLV,70,2014-09-22,estimation,0.6445151626011852,0.30455851073138546,0.3399566518697998,0.7493772110308512,1.469527736377347,0.3672366154428157,0.38494108140258676,"(0.729, 0.838]","(1.263, 1.784]"
SLV,71,2014-10-20,estimation,0.23476254006519054,-0.03865148875609706,0.2734140288212876,1.0803386757678213,1.3064358042797906,0.1869678338662678,0.26730266912632183,"(0.954, 1.099]","(1.263, 1.784]"
SLV,72,2014-11-24,estimation,-0.9681931474804673,-0.8292923854665822,-0.13890076201388502,1.6264042618407002,1.4070640238010397,-0.2535321008188183,0.3415052808646058,"(1.099, 2.982]","(1.263, 1.784]"
SLV,73,2014-12-22,estimation,-0.012467646399972838,-0.008630872528837498,-0.003836773871135341,1.051756091176812,1.292281340845781,0.19575760202154857,0.25640913772758367,"(0.954, 1.099]","(1.263, 1.784]"
SLV,74,2015-01-20,estimation,0.22310541738042192,-0.03687935378694667,0.25998477116736857,0.9392947798276385,1.2046073054346598,0.20687793374757946,0.1861536262236214,"(0.838, 0.954]","(1.181, 1.263]"
SLV,75,2015-02-23,estimation,0.5298649865432521,0.09557696214919348,0.4342880243940586,0.681644135535262,1.169672700623938,0.28440589336566824,0.15672396661781396,"(0.377, 0.729]","(0.997, 1.181]"
SLV,78,2015-05-18,estimation,0.6613633550564902,0.017021959712026448,0.6443413953444638,0.667723383201984,1.2295090049142705,0.305095281502321,0.2066149066930565,"(0.377, 0.729]","(1.181, 1.263]"
SLV,80,2015-07-20,estimation,0.5546446478543758,0.26084637463816424,0.2937982732162116,0.6612594167190285,1.2270169945820146,0.3048959611757379,0.20458601614794625,"(0.377, 0.729]","(1.181, 1.263]"
SLV,91,2016-06-20,estimation,0.1496688002155477,-0.054521467238194024,0.20419026745374175,1.0819753017003213,1.3060358937422964,0.18562125883012215,0.26699651419961345,"(0.954, 1.099]","(1.263, 1.784]"
SLV,92,2016-07-18,estimation,0.18183408960862799,0.1229103100198707,0.05892377958875729,0.9106746867784196,1.1845763197648869,0.2105691964849984,0.16938517459245064,"(0.838, 0.954]","(1.181, 1.263]"
SLV,130,2019-09-23,estimation,0.18503651278750993,-0.010559256036081613,0.19559576882359153,0.8136976549435047,1.2505819607467972,0.2842610450749463,0.22360901156821425,"(0.729, 0.838]","(1.181, 1.263]"
SLV,136,2020-03-23,estimation,0.6496185822499345,0.3517122328917128,0.29790634935822174,0.5522972268605219,1.1558652316657694,0.2883977527339171,0.14484918185001658,"(0.377, 0.729]","(0.997, 1.181]"
SLV,137,2020-04-20,estimation,0.5816640084079844,0.33220119775015994,0.24946281065782444,0.6972991263982751,1.370581513527338,0.34254016687864547,0.3152351122100542,"(0.377, 0.729]","(1.263, 1.784]"
SLV,138,2020-05-18,estimation,0.5198549638338128,0.34697402364436714,0.17288094018944566,0.7446055430004285,1.1385702122654027,0.25764618933544553,0.12977327547244036,"(0.729, 0.838]","(0.997, 1.181]"
SLV,139,2020-06-22,estimation,0.5532794465890588,0.1817196279152331,0.3715598186738257,0.7687764954772965,1.4132500046356389,0.3505792210674312,0.3458920198533897,"(0.729, 0.838]","(1.263, 1.784]"
SLV,140,2020-07-20,estimation,-4.05152712928555,-1.0471623900462481,-3.0043647392393025,2.6700969578639193,1.367554316077781,-2.543164175954669,0.31302397377770125,"(1.099, 2.982]","(1.263, 1.784]"
SLV,141,2020-08-24,estimation,0.7479295633502583,0.625826797927788,0.12210276542247034,0.527113555192642,1.1685438270880373,0.2893401027751885,0.15575838142907647,"(0.377, 0.729]","(0.997, 1.181]"
SLV,142,2020-09-21,estimation,0.12970923925415748,0.00747784736310796,0.12223139189104952,0.9847523905729735,1.2953527631001664,0.23612445047554786,0.2587830619946372,"(0.954, 1.099]","(1.263, 1.784]"
SLV,143,2020-10-19,estimation,0.5190786961850284,0.5429563864498408,-0.023877690264812346,0.7428573781510032,1.2710589926079396,0.30870201047516344,0.2398504054558858,"(0.729, 0.838]","(1.263, 1.784]"
SLV,144,2020-11-23,estimation,0.21433791030479368,-0.0755733501039872,0.2899112604087809,0.9911875330472415,1.2886273393239327,0.22878501706173415,0.25357757379715057,"(0.954, 1.099]","(1.263, 1.784]"
SLV,145,2020-12-21,estimation,0.2726358756295376,0.05014423550958587,0.22249164011995176,0.8893692700600886,1.1517783722589277,0.20262456502112514,0.14130715857339152,"(0.838, 0.954]","(0.997, 1.181]"
SLV,146,2021-01-19,estimation,-0.12352142355490996,-0.12558624893438886,0.002064825379478899,1.2391956837250173,1.19982844209203,-0.04065890939099437,0.18217858165018752,"(1.099, 2.982]","(1.181, 1.263]"
SLV,147,2021-02-22,estimation,0.6245552303418701,0.22645471715939147,0.39810051318247863,0.5519896326254399,1.3429795213443878,0.3251115978651213,0.2948906689843265,"(0.377, 0.729]","(1.263, 1.784]"
SLV,148,2021-03-22,estimation,0.5443964617411132,0.4640033100447948,0.08039315169631844,0.7505498581836837,1.3745586925539743,0.3407273510247703,0.31813272873294435,"(0.729, 0.838]","(1.263, 1.784]"
SLV,149,2021-04-19,estimation,0.3468855887650285,-0.05734884466711235,0.4042344334321408,0.9438832165021634,1.3661721006476877,0.2917578173872962,0.31201274197379925,"(0.838, 0.954]","(1.263, 1.784]"
SLV,150,2021-05-24,estimation,0.4423214477159334,0.3304082572881563,0.11191319042777709,0.7823249638409296,1.2400228123633377,0.288759568957387,0.21512977651492932,"(0.729, 0.838]","(1.181, 1.263]"
SLV,151,2021-06-21,estimation,0.7190774250893123,0.3481782943683582,0.3708991307209541,0.6089190019069302,1.4627537944193325,0.3554365961200281,0.380320819714177,"(0.377, 0.729]","(1.263, 1.784]"
SLV,152,2021-07-19,estimation,0.3909740230611245,0.0708854963614129,0.3200885266997116,0.8535883732474966,1.3525171756102645,0.3148794207238048,0.30196743081517796,"(0.838, 0.954]","(1.263, 1.784]"
SLV,153,2021-08-23,estimation,0.18079693563732993,-0.22329441197038227,0.4040913476077122,1.0114955165336141,1.3224075115146052,0.23781329599345724,0.27945394772225135,"(0.954, 1.099]","(1.263, 1.784]"
SLV,154,2021-09-20,estimation,0.38088058442799366,0.15216439044766197,0.2287161939803317,0.8308193384155383,1.3054019704950555,0.3020467544248301,0.2665110167130571,"(0.729, 0.838]","(1.263, 1.784]"
SLV,155,2021-10-18,estimation,0.4619963761181734,0.07697423806313236,0.38502213805504104,0.8121037259107965,1.369212708532307,0.3304309678883079,0.31423590935175527,"(0.729, 0.838]","(1.263, 1.784]"
SLV,156,2021-11-22,estimation,0.4934645991539115,0.00507971322812773,0.4883848859257838,0.7519311905306238,1.2622286443724862,0.30399292054001625,0.23287892391500203,"(0.729, 0.838]","(1.181, 1.263]"
SLV,157,2021-12-20,estimation,0.383677699887369,0.10769806758003508,0.2759796323073339,0.8520739295053348,1.299705950793231,0.2934629753125385,0.2621380471847762,"(0.838, 0.954]","(1.263, 1.784]"
SLV,158,2022-01-24,holdout,0.4111574577545956,0.3279442212929842,0.08321323646161144,0.8178850074236887,1.4045514882238643,0.34162202171117845,0.3397180263589729,"(0.729, 0.838]","(1.263, 1.784]"
SLV,159,2022-02-22,holdout,0.09827875899188875,0.04407982355576496,0.05419893543612379,1.047551803794679,1.3274095307866922,0.2208553275511117,0.28322932174511367,"(0.954, 1.099]","(1.263, 1.784]"
SLV,160,2022-03-21,holdout,0.6669985893310588,0.5352387355736398,0.13175985375741905,0.5867070157987186,1.3130116515893078,0.3245424554379802,0.27232346930208323,"(0.377, 0.729]","(1.263, 1.784]"
SLV,161,2022-04-18,holdout,-0.03012505194666074,-0.06010358373446224,0.029978531787801504,1.037098820349848,1.304630287505134,0.212670648267561,0.2659196960425622,"(0.954, 1.099]","(1.263, 1.784]"
SLV,162,2022-05-23,holdout,0.28632909629651176,0.25782463759710444,0.02850445869940732,0.8814783246353299,1.163989219496418,0.2139429009498195,0.1518530876653418,"(0.838, 0.954]","(0.997, 1.181]"
SLV,163,2022-06-21,holdout,0.19803826676118494,-0.06227810455055006,0.260316371311735,0.9867114393899219,1.2746018669943735,0.22286549672017897,0.2426338686658318,"(0.954, 1.099]","(1.263, 1.784]"
SLV,164,2022-07-18,holdout,0.049751958538500556,0.029273696934100372,0.020478261604400184,0.9871687913315116,1.1441382503529238,0.13543411479367184,0.13465173386664714,"(0.954, 1.099]","(0.997, 1.181]"
SLV,165,2022-08-22,holdout,0.06206948181758806,-0.22592111496230227,0.28799059677989036,1.0273095831795662,1.2227524056517012,0.1642035489451973,0.20110438784631315,"(0.954, 1.099]","(1.181, 1.263]"
SLV,166,2022-09-19,holdout,-0.7528004209910936,-0.5442015632026234,-0.2085988577884702,1.4112088772101743,1.282054260126865,-0.14216570064874712,0.24846368219475637,"(1.099, 2.982]","(1.263, 1.784]"
SLV,167,2022-10-24,holdout,0.10618660751365068,-0.1400186686297206,0.2462052761433713,1.00168643952814,1.2482779897176324,0.1978785286303989,0.22176499331372523,"(0.954, 1.099]","(1.181, 1.263]"
SLV,168,2022-11-21,holdout,0.008623375604486828,-0.1166501384402117,0.12527351404469853,1.0914070494232129,1.237258765019983,0.12865828480933295,0.2128982591003626,"(0.954, 1.099]","(1.181, 1.263]"
SLV,169,2022-12-19,holdout,0.18258518978852806,-0.019388739847285556,0.20197392963581362,1.0358425198370556,1.3413665777143167,0.2359346171586415,0.2936889284004637,"(0.954, 1.099]","(1.263, 1.784]"
SLV,170,2023-01-23,holdout,0.46012607831017216,0.02325194577822879,0.43687413253194335,0.7591932577881212,1.1788795254569848,0.2702761206043933,0.1645644326674478,"(0.729, 0.838]","(0.997, 1.181]"
SLV,171,2023-02-21,holdout,-0.7193740060596546,-0.5187214275072656,-0.20065257855238905,1.3434774294813243,1.1448777484200967,-0.23305037535767115,0.13529786136710714,"(1.099, 2.982]","(0.997, 1.181]"
SLV,172,2023-03-20,holdout,0.6822968715431246,0.16777948202287624,0.5145173895202484,0.6792281070947319,1.2181154066889741,0.30048663569218603,0.19730491577528428,"(0.377, 0.729]","(1.181, 1.263]"
SLV,173,2023-04-24,holdout,0.23957805447613473,-0.09705396760416515,0.33663202208029985,0.9067434536328862,1.2424363370691562,0.2449922908766654,0.21707423990464447,"(0.838, 0.954]","(1.181, 1.263]"
SLV,174,2023-05-22,holdout,0.4098481927951048,0.3054907270051439,0.10435746578996091,0.8176846112239119,1.2100970376708353,0.26516022465131084,0.19070055281526652,"(0.729, 0.838]","(1.181, 1.263]"
SLV,175,2023-06-20,holdout,0.16487028752933708,-0.21158162399762312,0.3764519115269602,0.9924971979557766,1.2446234732605508,0.20105246859556114,0.21883305305913484,"(0.954, 1.099]","(1.181, 1.263]"
SLV,176,2023-07-24,holdout,0.04828582493624948,-0.25825061727104137,0.30653644220729087,0.9681312461741526,1.224270857424509,0.20255057084021233,0.2023454483549052,"(0.954, 1.099]","(1.181, 1.263]"
SLV,177,2023-08-21,holdout,0.07640612827544328,-0.00896509198030322,0.0853712202557465,1.0139871233206723,1.2364310535007534,0.1824244710004831,0.2122290470237934,"(0.954, 1.099]","(1.181, 1.263]"
SLV,178,2023-09-18,holdout,-0.260743162257692,0.1667398134023276,-0.4274829756600196,1.169573986071054,1.2215803033255044,0.04979225320396807,0.2001453511229334,"(1.099, 2.982]","(1.181, 1.263]"
SLV,179,2023-10-23,holdout,0.4910941013170116,0.12461213178807479,0.3664819695289368,0.7361698316484995,1.275261265544255,0.3112012109650439,0.24315107177070908,"(0.729, 0.838]","(1.263, 1.784]"
SLV,180,2023-11-20,holdout,-0.46143007791954394,-0.4749899425904533,0.01355986467090936,1.2613142485042597,1.16868807195553,-0.09996740710281626,0.1558818136548088,"(1.099, 2.982]","(0.997, 1.181]"
SLV,181,2023-12-18,holdout,0.5166456313913538,0.20839316271895222,0.3082524686724015,0.6840550933326165,1.2185846983738557,0.3000593223872508,0.19769010202755136,"(0.377, 0.729]","(1.181, 1.263]"
SLV,182,2024-01-22,holdout,0.09939165726039906,-0.25317351145972544,0.3525651687201245,1.013393379382434,1.2536293013694217,0.19419894905576007,0.22604278556556523,"(0.954, 1.099]","(1.181, 1.263]"
SLV,184,2024-03-18,holdout,0.07641346755893079,-0.4214488236618423,0.4978622912207731,1.2752110576177167,1.3188289363499153,0.04217529638307127,0.276744173398687,"(1.099, 2.982]","(1.263, 1.784]"
SLV,185,2024-04-22,holdout,-0.1631212680950321,-0.0975897831094015,-0.0655314849856306,1.1913207680349667,1.206251433402692,0.014745857489243397,0.18751756198346506,"(1.099, 2.982]","(1.181, 1.263]"
SLV,186,2024-05-20,holdout,-0.33256059157754697,-0.22022273307195084,-0.11233785850559613,1.1592657193264682,1.1295853880045965,-0.03046019451480153,0.12185065212483687,"(1.099, 2.982]","(0.997, 1.181]"
SLV,187,2024-06-24,holdout,0.25505895728531025,0.13511829235151324,0.11994066493379701,0.9335555119441973,1.1926418154393141,0.20280309105883498,0.17617085950986702,"(0.838, 0.954]","(1.181, 1.263]"
SLV,188,2024-07-22,holdout,-0.35641638002670495,-0.027538559016760885,-0.32887782100994406,1.1233302719186196,1.1592642087386418,0.034820085632646824,0.14778550105162025,"(1.099, 2.982]","(0.997, 1.181]"
SLV,189,2024-08-19,holdout,0.13884205144566653,-0.1490285238461136,0.2878705752917801,0.9555823565716589,1.1757008846127994,0.17890722419581306,0.16186446730498585,"(0.954, 1.099]","(0.997, 1.181]"
SLV,190,2024-09-23,holdout,-0.13340236030379374,0.07634755635236053,-0.20974991665615428,1.0872090176288518,1.1315538228676756,0.04260696324498414,0.12359175267351494,"(0.954, 1.099]","(0.997, 1.181]"
