rule,ticker,entry_year,n,mean,p05,p10,p25,p50,p75,p90,p95,share_below_0.95,share_above_1
section 3,USO,2024,12,0.98681628947765,0.9654961714110516,0.9676128869534981,0.9759550956971821,0.9874187578442333,0.9968562939633163,1.002367677242342,1.0043728638754699,0.0,0.25
section 3,USO,2025,7,0.9685097950744709,0.9067926155791274,0.9076047747160718,0.9481062423684308,0.9902220982017521,0.9933139948367538,0.9966450943685333,0.9985853154177627,0.2857142857142857,0.14285714285714285
section 3,USO,ALL,219,1.0008151022118283,0.9652545199494615,0.9769342719042161,0.9902677221212336,1.0005313455544036,1.0115139521683956,1.0282249961700585,1.0455428855275444,0.0319634703196347,0.5159817351598174
section 3 and rule 2 floor,ALL,2007,8,0.9777542928021694,0.9591042419374051,0.9639298386338548,0.9724599621967132,0.9765267348507702,0.9857271692454463,0.9910135868610742,0.9957171420351617,0.0,0.125
section 3 and rule 2 floor,ALL,2008,23,0.9859924064050112,0.9728044061492648,0.9810270499302906,0.9835421496190091,0.9875119047951145,0.9905120960215362,0.991862475749241,0.9924721915056767,0.0,0.0
section 3 and rule 2 floor,ALL,2009,24,0.9883546415949014,0.9754197327912367,0.9818991211777126,0.9843846124959806,0.9867801379581365,0.9909534475591784,0.9968312001861263,1.0058172825650504,0.0,0.08333333333333333
section 3 and rule 2 floor,ALL,2010,24,1.0035496028151571,0.9942141478974401,0.9947098772721251,0.9982353246035343,1.0011476447502403,1.0074662938496621,1.014843251333955,1.020962298600546,0.0,0.5833333333333334
section 3 and rule 2 floor,ALL,2011,36,1.0005490203168266,0.9889578506434523,0.992000308121797,0.9983044066730485,1.0007602013691697,1.0042460994296063,1.0074247074354323,1.0103730887570344,0.0,0.5277777777777778
section 3 and rule 2 floor,ALL,2012,38,1.0004808024878684,0.9923577703519233,0.992828872666022,0.9960895573965081,0.997308935893269,1.0074608266134328,1.0106498020092693,1.0130674415676217,0.0,0.39473684210526316
section 3 and rule 2 floor,ALL,2013,33,1.001347142592753,0.9943949231824537,0.9950934565958518,0.9960269877297842,0.9991503817567075,1.001289564651074,1.006890768000973,1.0148510477412422,0.0,0.42424242424242425
section 3 and rule 2 floor,ALL,2014,38,1.0010609387924734,0.9865494558378995,0.9920607705080082,0.9952271035616338,0.9998394014954293,1.004858970217894,1.0104958489510905,1.0170471752824177,0.0,0.5
