ticker,entry_year,strip_cycles,median_puts,median_calls,min_puts,min_calls,median_span_put,median_span_call,min_span_put,min_span_call,fail_strike_count,fail_span,fail_no_sigma_atm,pass_floor,pass_floor_span_in_price
SLV,2011,12,14.5,16.0,6,7,4.5368286427866185,3.4401161440192864,2.6929899718530432,2.018852211041275,0,0,0,12,12
SLV,2012,12,13.5,17.5,9,14,4.580302352927738,4.272061230059332,4.09999280560673,3.475441587787185,0,0,0,12,12
SLV,2013,12,9.0,13.5,3,5,3.2319485634236815,3.7953232227310645,2.6210086752655792,2.442921942699758,3,0,0,9,9
SLV,2014,12,6.0,10.0,4,8,3.163741290437694,4.057209160381699,2.2063465819322365,3.004419010608868,3,0,0,9,9
SLV,2015,12,5.0,6.0,4,5,2.5279089692619925,2.709500735343802,2.134758968600219,2.1575777628895914,8,0,0,4,4
SLV,2016,12,4.0,9.5,3,6,2.119726195014861,3.5373250844202033,1.6806320725120125,2.9132740866876414,10,0,0,2,2
SLV,2017,12,3.0,6.0,3,4,2.1265295001311184,3.0861593210033873,1.7767607957154976,2.4640645184124987,12,0,0,0,0
SLV,2018,12,2.5,6.0,1,4,1.8602566166347096,3.931157667282993,0.7465487217642521,3.0340418440077714,12,5,0,0,0
SLV,2019,12,2.0,6.5,1,3,1.4730861652739802,3.9207005686788996,0.7766378315461597,2.3410404624012315,11,6,0,1,1
SLV,2020,12,10.5,18.0,2,6,3.7235766134594015,5.689570141404925,1.320669212298341,3.1451312837406897,2,1,0,10,10
SLV,2021,12,10.5,24.5,8,15,3.5996272134602787,6.140165771769296,2.9522997697172033,4.6748570069134265,0,0,0,12,12
SLV,2022,12,9.0,18.0,7,11,3.289765763076777,5.247824897234363,2.8175694036787657,3.3424157093467284,0,0,0,12,12
SLV,2023,12,7.5,15.0,6,10,2.8304804217913224,4.9668777577886285,2.3305916772141346,3.2609314568431924,0,0,0,12,12
SLV,2024,12,9.0,20.5,5,14,2.4751588625382928,5.243075168005216,1.9286882885583778,3.7966472387133248,1,0,0,11,11
SLV,2025,7,12.0,22.0,10,16,3.051951650115527,5.562287286872568,2.7190276753548126,3.824494741561045,0,0,0,7,7
SLV,ALL,200,6.5,12.0,1,2,2.7714970806779844,3.950886400695352,0.6593462174085253,1.3971720595932402,85,21,0,115,115
UNG,2007,8,7.5,12.5,2,8,1.3450720898077524,1.9827558485895862,0.5289177072113873,1.7160818865007224,3,5,0,3,2
UNG,2008,11,7.0,12.0,4,7,1.5982976210425779,2.1307159742748887,1.0632240137976237,1.394982921953502,3,4,0,6,5
UNG,2009,12,3.0,5.0,1,3,1.4201928794559535,2.044504947647991,0.8078239726537115,1.6439642322313155,12,7,0,0,0
UNG,2010,9,1.0,3.0,1,2,1.5884626696579367,2.726108515142773,1.1547480077153653,2.2286142327501373,9,3,0,0,0
UNG,2011,8,1.0,3.0,1,1,1.1915641743445013,2.5516026743519395,0.9183138078324272,1.8128657822744823,8,6,0,0,0
UNG,2012,12,4.0,8.0,1,2,2.191095703642959,2.788222030300375,1.4013414720270376,2.2607964536638376,10,2,0,2,2
UNG,2013,12,3.0,5.0,2,4,1.9417745581879764,2.6252586589258673,1.3755448131819086,2.2268432057581795,12,4,0,0,0
UNG,2014,12,5.5,11.0,4,4,1.9783438714095194,3.3918727338233357,1.474928712727387,1.8874463864033846,6,1,0,5,4
UNG,2015,12,4.0,7.5,2,4,1.618609218316905,2.3841566513572556,1.0267883463683996,1.992078724822717,11,5,0,1,1
UNG,2016,12,3.0,4.5,1,3,1.445290215722754,2.113203452824499,0.6300073880268708,1.6395517546936729,12,7,0,0,0
UNG,2017,9,1.0,3.0,1,1,0.8763358861039634,2.1378157278620007,0.7714504688607774,1.0590639478906854,9,8,0,0,0
UNG,2018,12,5.0,8.5,3,4,1.6119730976779594,2.17380751550765,1.329755566722325,1.4304853825334978,7,5,0,3,2
UNG,2019,12,6.0,8.5,4,6,1.6391598313829538,2.2538678206451914,1.33684097853653,1.7719951704806987,5,2,0,6,3
UNG,2020,12,6.0,12.0,3,6,1.9548981559037082,2.728553961396617,1.1855522616129301,2.031101846833173,4,4,0,7,5
UNG,2021,12,4.5,10.0,2,4,1.7583940056417728,3.4530328185138752,1.2171643126303957,2.0683188959244645,8,2,0,3,2
UNG,2022,12,15.0,22.0,6,12,2.9256922821868745,3.0168793792198443,1.436102036092537,1.121511925137966,0,4,0,8,9
UNG,2023,12,4.0,8.5,1,6,2.0481927110562523,3.2924563811076495,0.5895124071384437,2.312850125174258,11,1,0,1,1
UNG,2024,12,9.5,16.0,1,10,2.426459054903588,3.835755956789625,0.7298941399466827,2.53664041924733,1,1,0,11,11
UNG,2025,7,9.0,19.0,4,12,1.7565445280408825,3.59094224930814,1.4519227667700965,2.369060603899564,2,1,0,4,4
UNG,ALL,208,4.0,8.0,1,1,1.715622726962762,2.6251980932583603,0.5289177072113873,1.0590639478906854,133,72,0,60,51
USO,2007,8,8.0,8.5,5,6,1.993796416075094,1.861044117525296,1.6499678308877626,1.4135082096398812,1,2,0,5,6
USO,2008,12,20.0,28.0,1,7,2.3094433397945804,2.440233408256217,0.7871038670306634,0.8820698220183304,1,2,0,10,10
USO,2009,12,8.0,9.5,6,8,2.2785744821963663,2.0765637505446737,1.6736809228728549,1.6305875613016385,0,0,0,12,11
USO,2010,12,9.0,11.5,5,6,3.169373996001691,3.6983979256124186,2.017896727690713,2.929739082659554,2,0,0,10,10
USO,2011,12,11.0,15.0,6,10,3.904784433855185,4.068307438034367,2.265501054862578,2.4365768494184694,0,0,0,12,12
USO,2012,12,8.5,18.5,7,10,3.314567477366321,5.1922103495505105,2.9956305046505856,4.126190405502923,0,0,0,12,12
USO,2013,12,12.0,13.0,8,7,3.60577187808335,3.8199469231209493,2.9112985490265606,2.031543013468699,0,0,0,12,12
USO,2014,12,10.0,14.0,8,8,3.140740064305424,5.602275672471569,2.2606211984301097,2.2091084536275494,0,0,0,12,12
USO,2015,12,8.5,11.0,5,7,2.7289886176410802,3.120895519873071,2.12961566117814,2.127632818503803,1,0,0,11,11
USO,2016,12,4.0,5.5,3,4,2.2091866900514012,2.2201915745769143,1.521456471378204,1.8100879716316025,10,0,0,2,2
USO,2017,12,2.5,3.0,2,2,1.867389379375966,2.1951063851924193,1.3283046465354686,1.3796900831934968,12,4,0,0,0
USO,2018,12,4.0,8.0,3,3,2.2210229398926913,3.5812324478180417,1.5588092156614064,2.1562958733469486,11,0,0,1,1
USO,2019,12,4.0,9.5,3,3,2.6578563244800826,4.053191072127099,1.6923584494543094,1.849054817003788,10,0,0,2,2
USO,2020,12,16.0,13.5,4,5,4.9374545095454465,3.0650324060727865,2.5610884871557382,1.9368618310617693,2,0,0,10,10
USO,2021,12,21.0,18.5,15,11,4.5174969375420915,3.259537381566914,3.374189444757483,2.2097495341899607,0,0,0,12,12
USO,2022,12,26.0,24.5,21,12,4.206340177051885,3.7821846698136676,2.7716972732269123,2.7863617657184867,0,0,0,12,12
USO,2023,12,20.5,22.5,17,12,3.3474737628653006,3.3799717707457697,2.1099731486263713,2.3003661149570345,0,0,0,12,12
USO,2024,12,22.0,23.5,16,13,3.818536977624493,4.290408549577544,2.8557352157835667,2.2984455606351735,0,0,0,12,12
USO,2025,7,24.0,29.0,22,18,4.317691326845402,4.368011331090219,3.4966858358421034,3.023709547681479,0,0,0,7,7
USO,ALL,219,10.0,14.0,1,2,3.10778596967041,3.2706694958034093,0.7871038670306634,0.8820698220183304,50,8,0,166,166
