rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,SLV,2024,0,12,10526.792771149323,5932.110752870122,6251.87700553232,7553.120475908487,9025.273142352622,11730.268955940315,18513.72959825816,19153.896058157083,12,602.3333333333334,548.3,552.7,571.0,603.5,621.25,633.7,667.3
section 3,SLV,2025,0,7,10668.536224489171,9070.939195793992,9229.369010250524,9606.490486208673,9885.53094656939,11352.524330270322,13139.025914988742,13551.354762774052,7,679.1428571428571,607.9,611.8,626.5,648.0,711.5,775.0,800.4999999999999
section 3,SLV,ALL,0,200,9019.554950857533,3018.2232653278134,3626.6244275759173,5233.056049195695,7897.819346671769,10028.948635649745,16424.89486623341,20929.672504976887,200,608.565,306.85,357.8,443.25,579.5,732.5,880.9,957.6999999999985
section 3,UNG,2007,0,8,32998.0628501951,20639.793210630767,22004.337289352166,26931.35860940461,33904.62844157033,37094.36746713672,44400.873146787984,45857.99952146805,8,415.5,368.65,375.3,388.5,393.5,421.0,475.0,509.99999999999994
section 3,UNG,2008,0,11,28737.966347096815,15779.112817659996,16595.86907437563,22840.989777608404,29512.0922666639,33703.87726656851,35892.193464500495,40024.61909991585,11,426.6363636363636,299.5,308.0,373.5,398.0,512.5,525.0,559.5
section 3,UNG,2009,0,12,10657.551725243053,4780.068361256884,5855.0424114263915,7647.669198912071,9399.020163953424,14086.362134784342,16554.675933848957,18007.722798585277,12,342.5833333333333,259.0,269.0,299.0,326.0,383.25,417.6,446.99999999999994
section 3,UNG,2010,0,9,5164.99853791654,2961.900001518253,3169.5712996983398,3715.3522909717276,3758.374042884443,5370.317963702527,8077.6267351560355,10554.647259839516,9,376.55555555555554,275.0,311.0,331.0,342.0,357.0,466.20000000000005,584.5999999999999
section 3,UNG,2011,0,8,6488.570018685012,2693.229962157125,3436.615324556205,4446.612116621846,6099.430754398905,8466.355628604397,9804.263249247277,10844.642761808731,8,381.25,249.75,251.5,259.75,397.0,447.25,530.5,539.25
section 3,UNG,2012,0,12,10617.739024223227,4642.541672453845,5032.106790978733,8268.543041571982,9661.149034886235,12481.173117770817,16720.10089621244,18122.358238725938,12,450.8333333333333,345.45,365.2,402.25,445.5,469.75,572.2,609.9
section 3,UNG,2013,0,12,9253.509136466402,6543.49826321291,7095.948019532234,8049.318183457509,9255.69019101188,10746.212074335062,11066.500251382811,11765.62583701695,12,423.5833333333333,328.65,351.1,380.5,434.0,459.5,480.5,511.24999999999994
