rule,ticker,entry_year,never_settles,size_n,size_mean,size_p05,size_p10,size_p25,size_p50,size_p75,size_p90,size_p95,contracts_n,contracts_mean,contracts_p05,contracts_p10,contracts_p25,contracts_p50,contracts_p75,contracts_p90,contracts_p95
section 3,USO,2007,0,8,26625.474501690114,13475.677894781296,15469.819574593754,18751.20781682599,27705.421196711854,31351.289403850617,36167.997859794596,41470.7559942572,8,419.125,280.9,306.8,373.25,392.0,487.75,559.0,569.5
section 3,USO,2008,0,12,59613.58651218747,35332.56472501482,44208.17618330772,50527.64932250709,61761.68852091719,69790.90807424279,76223.9681446927,79634.25161452021,12,526.0833333333334,315.4,387.0,466.5,543.5,637.5,651.0,672.25
section 3,USO,2009,0,12,24222.960798504126,15809.203991422968,17662.084527097195,19395.100524533795,24409.830121575287,28034.7383417022,32411.87176576187,33428.28861292639,12,517.25,364.0,392.6,451.25,507.0,610.0,635.2,675.15
section 3,USO,2010,0,12,14278.766539657567,10325.895488475093,10668.294342267922,12499.398676879278,14383.099603486613,16453.39056759045,17480.8994330658,17763.498994852354,12,609.6666666666666,453.7,466.5,566.25,594.5,690.75,735.6,760.05
section 3,USO,2011,0,12,20037.09994908968,15097.672602709423,16807.479815564777,17279.115346774684,19957.912722137888,22101.240908972777,24774.808042742523,25224.01310158551,12,757.8333333333334,600.0,640.1,680.0,690.0,819.25,934.6,1031.4999999999998
section 3,USO,2012,0,12,14501.252594542932,9033.560355745323,10244.514611771387,12445.14611771387,15050.979249251195,16173.30769876922,18226.534920658185,19969.17331585225,12,728.0833333333334,533.15,544.5,594.75,724.0,815.5,927.7,977.05
section 3,USO,2013,0,12,10074.235371705181,7090.032318871469,8156.86978712209,8711.354401673098,9828.951578063752,11548.396048575456,11748.975549395303,12891.95936546738,12,706.3333333333334,506.85,513.7,580.75,638.0,815.0,980.3000000000001,1011.0
section 3,USO,2014,0,12,10121.515396211997,6812.617969112916,6959.303271409331,7328.245331389045,7989.271784549499,10540.46500161592,14528.161494160235,19181.286255507785,12,691.6666666666666,479.7,572.6,629.75,652.5,779.75,891.5,910.0
section 3,USO,2015,0,12,10224.312963482786,7097.538667362691,7600.185922194479,8967.926390675262,9663.069854714313,10501.598423324962,11512.291249740363,15263.869688638712,12,679.0,490.65,510.90000000000003,631.5,673.0,778.25,824.3,834.65
section 3,USO,2016,0,12,6242.545290858819,4462.703452303098,4656.8793833981335,5313.002963205228,5991.108648016845,7434.562333088023,7577.092384595108,7705.737018405833,12,448.5833333333333,383.85,397.5,418.5,447.0,470.5,501.7,522.35
section 3,USO,2017,0,12,3594.2534922930686,2593.7476770686567,2686.3952552190444,3101.064998626576,3509.611054546521,4132.904851905817,4530.663090004212,4692.760697010261,12,388.9166666666667,296.0,296.8,322.75,348.0,468.75,499.2,546.4499999999999
section 3,USO,2018,0,12,4708.18480597385,3658.5924659369725,3741.924232428052,4015.645683824687,4217.2445113596405,4913.866872629858,6577.436583307884,6861.647576356003,12,488.4166666666667,352.3,365.2,425.5,486.0,530.5,553.6,667.5999999999998
section 3,USO,2019,0,12,4394.235156927901,3424.5067677394363,3591.427673655675,4194.614317395687,4469.500491135126,4704.588790460581,5094.382548244921,5155.33778713283,12,487.0833333333333,395.75,407.6,419.0,431.0,534.0,671.1,677.45
section 3,USO,2020,0,12,16703.094046352788,6097.706501270767,7383.091513717141,10115.794542598982,16314.161490638024,21320.571858648735,27846.92603148474,29427.745480741294,12,1082.0,560.2,566.7,740.25,1005.0,1217.75,1692.2,1943.6999999999996
section 3,USO,2021,0,12,27489.10391586521,18739.462107176805,19018.221961218744,21571.662569147957,24127.21507050952,30004.372252395242,39594.18748086963,44964.01876026196,12,847.1666666666666,655.35,672.8,695.75,835.5,956.25,1083.9,1098.1
section 3,USO,2022,0,12,56225.42127899679,38463.880495074816,43734.50510818331,49403.23479457043,53402.889587110294,61900.566894792224,66834.39175686149,78755.35900213846,12,937.75,724.85,800.5,826.75,889.0,1061.75,1081.7,1183.35
section 3,USO,2023,0,12,36925.44767544885,28218.14573010548,28644.547026453143,31180.538998557735,33115.306701833324,41929.69173031498,48856.312360447075,52848.142382236336,12,719.5,490.65,525.2,619.25,702.5,784.5,855.6,989.2999999999997
section 3,USO,2024,0,12,29590.160460285824,21933.795664885904,22413.134554708104,25162.807492722197,28033.664056022608,33305.93801467438,36826.61218013758,40305.10773124354,12,683.3333333333334,535.35,548.8,610.75,692.0,735.0,810.9,841.0999999999999
section 3,USO,2025,0,7,37956.52552322795,23335.883666764323,23497.82083384385,25160.493827302344,34276.778654645044,49856.82203828695,57810.52495106428,58010.42336407575,7,766.4285714285714,547.0,586.0,671.0,720.0,869.5,958.2,1007.0999999999999
section 3,USO,ALL,0,219,21306.180774688288,3832.861267505355,4265.795188015925,7498.942093324558,16595.86907437563,28510.182675039097,49545.019080479055,58210.321777087214,219,658.9132420091324,356.0,395.0,490.5,632.0,785.5,946.2,1071.3
section 3 and rule 2 floor,ALL,2007,0,8,29878.44240528982,17912.741712692587,18646.399553809315,25956.684267460754,29903.30295716417,33319.34896472709,38584.685415295695,42679.09977200775,8,449.375,340.55,352.1,381.5,420.5,546.25,559.0,569.5
section 3 and rule 2 floor,ALL,2008,0,23,50682.48385225601,29208.052352676885,30156.487710907895,35282.93925487683,49545.019080479055,66852.10999644504,72277.74501025719,76306.89364331355,23,538.5217391304348,392.4,435.0,485.5,541.0,592.5,640.8,651.0
section 3 and rule 2 floor,ALL,2009,0,24,29831.90804498408,17703.50872085233,18802.672218627267,24620.580587265482,29011.1374708515,33404.02877485557,40852.2111927519,46936.59859947925,24,576.25,393.4,424.70000000000005,490.25,582.0,641.0,772.6999999999999,816.0999999999999
section 3 and rule 2 floor,ALL,2010,0,24,23962.598095138757,12950.403337636611,13475.802818951928,16266.656280149327,22862.91149640063,31995.360488327613,37015.36325601524,39541.95044185565,24,812.5416666666666,581.35,589.9,631.25,777.0,977.75,1127.6,1183.95
section 3 and rule 2 floor,ALL,2011,0,36,28223.69003852158,14517.409267099289,16885.238352921522,19442.646781162686,24975.09768402575,32862.04805352488,45197.57343762862,50854.069208544715,36,933.9444444444445,597.25,648.5,686.75,854.0,947.75,1299.5,1581.75
section 3 and rule 2 floor,ALL,2012,0,38,20387.828405599164,9014.184846993025,10500.63513666325,12445.14611771387,15940.692915755779,28023.443742828822,33436.404860095754,37283.335418068105,38,878.2105263157895,537.05,590.4,711.0,831.5,1017.25,1175.7000000000003,1400.45
section 3 and rule 2 floor,ALL,2013,0,33,19671.68598725521,7300.256491802537,7980.286910122456,9120.108393559096,11748.975549395303,30549.21113215509,42792.26808832889,48535.8131715499,33,777.6060606060606,507.2,552.8,620.0,771.0,928.0,1032.0,1070.2
section 3 and rule 2 floor,ALL,2014,0,38,13383.26738810607,4937.8754023942,5315.622691378651,7370.919521872923,10740.76810748442,20068.80456789883,24071.66071838367,25141.553184578643,38,683.8421052631579,490.45,520.2,572.25,663.0,774.0,888.5,934.6999999999999
section 3 and rule 2 floor,ALL,2015,0,28,14367.227594719838,6968.865196859592,7746.33207026787,9199.312802050496,12248.490827667369,17539.530745339056,22186.934325950173,23255.524084266694,28,674.4285714285714,507.65,557.8,597.0,673.0,771.0,824.9,838.05
section 3 and rule 2 floor,ALL,2016,0,16,18233.201543288247,4871.82898453408,5936.405808618634,15322.916162102625,20316.668197973464,24547.089156850336,25424.884537902075,26455.846949032646,16,663.75,423.75,480.5,576.75,649.5,760.25,874.0,942.5
section 3 and rule 2 floor,ALL,2017,0,12,15759.056852290161,11141.580716166995,11984.769598626302,13573.50586375448,15667.5107010815,17992.313416949084,19011.2335983321,20324.961256570845,12,752.5,511.05,568.7,641.75,687.0,871.75,905.8,1058.2999999999997
