entry,gated,funds,cumulative,series
2011-09-19,-0.45881228955109804,3,4.884313837112293,O1 gate
2011-10-24,0.05647291558597756,3,4.940786752698271,O1 gate
2011-11-21,0.38116751861090165,3,5.321954271309172,O1 gate
2011-12-19,0.17710973041484948,3,5.4990640017240215,O1 gate
2012-01-23,0.2496611618136558,3,5.748725163537677,O1 gate
2012-02-21,0.08540604973187893,3,5.834131213269556,O1 gate
2012-03-19,0.1350371479032856,3,5.969168361172842,O1 gate
2012-04-23,0.2371143284686538,3,6.206282689641496,O1 gate
2012-05-21,0.23417688134026818,3,6.440459570981764,O1 gate
2012-06-18,-0.06683965698842495,4,6.3736199139933385,O1 gate
2012-07-23,0.1861532286256776,4,6.559773142619016,O1 gate
2012-08-20,0.015094665999659676,3,6.574867808618675,O1 gate
2012-09-24,0.26635161137876356,3,6.841219419997439,O1 gate
2012-10-22,0.1348689631491629,3,6.976088383146602,O1 gate
2012-11-19,0.0,3,6.976088383146602,O1 gate
2012-12-24,0.29738729370459704,3,7.2734756768511994,O1 gate
2013-01-22,0.1641277075445385,3,7.437603384395738,O1 gate
2013-02-19,0.42768348812799717,2,7.865286872523734,O1 gate
2013-03-18,-1.3281134337113507,3,6.537173438812384,O1 gate
2013-04-22,0.0,3,6.537173438812384,O1 gate
2013-05-20,0.03899591549818842,3,6.576169354310572,O1 gate
2013-06-24,0.0,3,6.576169354310572,O1 gate
2013-07-22,0.1105408505114267,3,6.686710204821999,O1 gate
2013-08-19,0.07951650693152465,2,6.766226711753523,O1 gate
2013-09-23,0.0,3,6.766226711753523,O1 gate
2013-10-21,0.32466331774073415,3,7.090890029494258,O1 gate
2013-11-18,0.11248176726579706,3,7.203371796760055,O1 gate
2013-12-23,0.0,2,7.203371796760055,O1 gate
2014-01-21,0.0827405187933207,3,7.286112315553376,O1 gate
2014-02-24,0.0028597376582109083,4,7.2889720532115865,O1 gate
2014-03-24,0.40395648629794945,3,7.692928539509536,O1 gate
2014-04-21,0.5161400581466031,2,8.209068597656138,O1 gate
2014-05-19,0.22764206939761,3,8.436710667053749,O1 gate
2014-06-23,0.07937900051449066,3,8.51608966756824,O1 gate
2014-07-21,0.12454462250647867,3,8.640634290074718,O1 gate
2014-08-18,0.19500062258161643,3,8.835634912656335,O1 gate
2014-09-22,0.3516288838924864,3,9.187263796548821,O1 gate
2014-10-20,-0.1191852009915228,4,9.0680785955573,O1 gate
2014-11-24,-0.328439998489916,3,8.739638597067383,O1 gate
2014-12-22,0.0,4,8.739638597067383,O1 gate
2015-01-20,0.080860988828739,4,8.820499585896123,O1 gate
2015-02-23,0.0,3,8.820499585896123,O1 gate
2015-03-23,0.18425889383240554,2,9.004758479728528,O1 gate
2015-04-20,0.0,2,9.004758479728528,O1 gate
2015-05-18,-0.001936845930540587,3,9.002821633797987,O1 gate
2015-06-22,0.30461529998765297,2,9.30743693378564,O1 gate
2015-07-20,0.3637408485309752,3,9.671177782316615,O1 gate
2015-08-24,-0.03095691532008793,2,9.640220866996527,O1 gate
2015-09-21,-0.09842117279523134,2,9.541799694201297,O1 gate
2015-10-19,0.08005809409052367,2,9.62185778829182,O1 gate
