sample,arm,rule,ticker,year,n,mean,p05,p10,p25,p50,p75,p90,p95,mean_cost_k0,median_cost_k0,mean_cost_k0.25,median_cost_k0.25,mean_cost_k0.5,median_cost_k0.5,mean_cost_k0.75,median_cost_k0.75,mean_cost_k1,median_cost_k1
estimation,strip,section 3,USO,2011,12,0.02258909180526795,0.015846398330624924,0.01730986586037207,0.019553033114694755,0.022114768810923592,0.02545520076279199,0.029909150312325928,0.030878304486713932,0.0,0.0,0.005647272951316988,0.005528692202730898,0.011294545902633976,0.011057384405461796,0.016941818853950963,0.016586076608192696,0.02258909180526795,0.022114768810923592
estimation,strip,section 3,USO,2012,12,0.030857191779056076,0.025281891163869155,0.025735097282499935,0.02693381164824373,0.029985192411841326,0.0308389599314212,0.03618793174789861,0.04266838671319676,0.0,0.0,0.007714297944764019,0.007496298102960331,0.015428595889528038,0.014992596205920663,0.023142893834292057,0.022488894308880993,0.030857191779056076,0.029985192411841326
estimation,strip,section 3,USO,2013,12,0.045684502383019,0.027252367549979117,0.027688680754607183,0.02947484090164033,0.03592384113438428,0.05876195912015565,0.07314689560642308,0.08315930115157041,0.0,0.0,0.01142112559575475,0.00898096028359607,0.0228422511915095,0.01796192056719214,0.03426337678726425,0.02694288085078821,0.045684502383019,0.03592384113438428
estimation,strip,section 3,USO,2014,12,0.08397893563394883,0.04335044176070721,0.050565293184513214,0.06616288805920742,0.08247013621352284,0.10481039554371338,0.11796704949250296,0.12323885501861995,0.0,0.0,0.020994733908487207,0.02061753405338071,0.041989467816974414,0.04123506810676142,0.06298420172546162,0.06185260216014213,0.08397893563394883,0.08247013621352284
estimation,strip,section 3,USO,2015,12,0.04780233876218356,0.03296448506902604,0.03532938759749335,0.03832004367543151,0.04546015171683783,0.057970308122069075,0.06032482973636052,0.06557947977986463,0.0,0.0,0.01195058469054589,0.011365037929209457,0.02390116938109178,0.022730075858418915,0.03585175407163767,0.034095113787628376,0.04780233876218356,0.04546015171683783
estimation,strip,section 3,USO,2016,12,0.04869685777188537,0.03823734082304497,0.03944082078880305,0.04119907483080559,0.04416922741187486,0.05087099783259097,0.053783889147175475,0.07124144897637882,0.0,0.0,0.012174214442971343,0.011042306852968715,0.024348428885942686,0.02208461370593743,0.03652264332891403,0.03312692055890615,0.04869685777188537,0.04416922741187486
estimation,strip,section 3,USO,2017,12,0.06085587866613205,0.047657723807883474,0.048752218610029104,0.052571912002252016,0.056024682906110915,0.07079111920182496,0.07710588175704862,0.07959778793770694,0.0,0.0,0.015213969666533012,0.014006170726527729,0.030427939333066024,0.028012341453055457,0.04564190899959904,0.04201851217958319,0.06085587866613205,0.056024682906110915
estimation,strip,section 3,USO,2018,12,0.05860630367372912,0.03872107904934479,0.039394936231831115,0.047151398567688574,0.05946087290429843,0.06883486181502427,0.06970555469567215,0.07997658075540774,0.0,0.0,0.01465157591843228,0.014865218226074608,0.02930315183686456,0.029730436452149216,0.04395472775529684,0.04459565467822382,0.05860630367372912,0.05946087290429843
estimation,strip,section 3,USO,2019,12,0.056908552844160215,0.04761201102101328,0.04855626518589147,0.049962961248795804,0.05691955774666144,0.06068106846507128,0.0659902408922785,0.06841971595820784,0.0,0.0,0.014227138211040054,0.01422988943666536,0.028454276422080108,0.02845977887333072,0.04268141463312016,0.04268966830999608,0.056908552844160215,0.05691955774666144
estimation,strip,section 3,USO,2020,12,0.0530198732344912,0.031610258021896584,0.03859962721269331,0.041387896097398444,0.044698549912205364,0.0636704959335736,0.08788322892555499,0.09333583319606552,0.0,0.0,0.0132549683086228,0.011174637478051341,0.0265099366172456,0.022349274956102682,0.0397649049258684,0.03352391243415402,0.0530198732344912,0.044698549912205364
