sample,arm,unit,c_bps,n,mean_k0,mean_k1,breakeven_k,boot_ci_low,boot_ci_high,outcome
full,straddle,UNG,2.0,210,0.027014633496727832,-0.0007050680145031307,0.974564372050779,-0.05157677124129113,2.0409226780423753,breaks even inside the grid
full,straddle,POOLED,2.0,219,0.017497589072355043,-0.0011418710714197094,0.9387390480941008,-0.13725470350418487,2.0843933149459355,breaks even inside the grid
full,straddle,GLD,5.0,206,-0.023026277885925057,-0.03208495215236529,-2.541903727704479,-6.646954775006051,1.186305971680871,negative at mid
full,straddle,SLV,5.0,200,0.009694317305291156,-0.004872831120296259,0.665491764212613,-2.124170556132852,3.1984073992078983,breaks even inside the grid
full,straddle,USO,5.0,218,0.008078186691348571,-0.010917875144277727,0.4252558641496038,-1.3735993933678377,2.3006130066186707,breaks even inside the grid
full,straddle,UNG,5.0,210,0.017708068408946273,-0.010011633102284907,0.6388260855468267,-0.37461585733100755,1.6905945834118357,breaks even inside the grid
full,straddle,POOLED,5.0,219,0.0020159573697017415,-0.016623502774072853,0.1081553518262734,-0.9675645698051718,1.1862509338634366,breaks even inside the grid
full,straddle,GLD,10.0,206,-0.0661744914706999,-0.07523316573714121,-7.3050966978522816,-12.061548602521725,-3.052604669319297,negative at mid
full,straddle,SLV,10.0,200,-0.015047189487528733,-0.029614337913115914,-1.0329536741108756,-4.028070424253049,1.539779872072342,negative at mid
full,straddle,USO,10.0,218,-0.0132906456122789,-0.032286707447905176,-0.6996526820813396,-2.552093187640614,1.1428154419968979,negative at mid
full,straddle,UNG,10.0,210,0.0021971265959768245,-0.025522574915254077,0.07926227470691334,-0.9479577093657955,1.1017122919560243,breaks even inside the grid
full,straddle,POOLED,10.0,219,-0.023786762134720366,-0.04242622227849512,-1.2761508086201045,-2.4094559547873216,-0.2461398870510076,negative at mid
