window,ticker,arm,entry,expiration,excluded_by,truncated,return_k0_c0,return_primary,rv,k_strip,sigma_atm_squared
April 2020,UNG,strip,2020-04-20,2020-05-15,,False,0.1871266085295527,0.16515002448515453,0.43119859839423774,0.5888426809056216,0.567002976016
April 2020,USO,straddle,2020-03-23,2020-04-17,,False,0.4438744510751231,0.4351704634773584,1.1926238285684807,4.157775908061204,3.10923570650625
April 2020,USO,strip,2020-03-23,2020-04-17,,False,0.6672654080382173,0.6205355810924567,1.1926238285684807,4.157775908061204,3.10923570650625
April 2020,USO,strip,2020-04-20,2020-05-15,rule 5 truncated,True,0.49360316001028254,0.44451769644277744,1.9885342948406421,7.911845981431141,2.854947536281
2022 UNG,UNG,straddle,2021-12-20,2022-01-21,,False,0.10801102576811995,0.09179179949081284,0.6606391438136539,0.49519635423582564,0.43482550456900004
2022 UNG,UNG,straddle,2022-01-24,2022-02-18,,False,-0.43485484399645347,-0.4551652311385754,0.7099214738216938,0.32825344232386056,0.27163536778225
2022 UNG,UNG,straddle,2022-02-22,2022-03-18,,False,0.09552802993764237,0.0797508463776915,0.2419266605875192,0.41423246571093647,0.33533885814025
2022 UNG,UNG,straddle,2022-03-21,2022-04-14,,False,-0.09361928671047723,-0.11272380399896777,0.2857616859969285,0.31657808150603367,0.26811217982025
2022 UNG,UNG,straddle,2022-04-18,2022-05-20,,False,0.14513303115478982,0.12731551715963302,0.7063016254864652,0.7267519423334596,0.750517272976
2022 UNG,UNG,straddle,2022-05-23,2022-06-17,,False,-0.14240632024912855,-0.1522370189976377,0.8500074285686123,0.8912745192242173,0.88644955371025
2022 UNG,UNG,straddle,2022-06-21,2022-07-15,,False,-0.34792705357350723,-0.36893391332390096,0.8757116623331167,0.5196833313425127,0.448293185209
2022 UNG,UNG,straddle,2022-07-18,2022-08-19,,False,0.22634476207160276,0.21465841475293573,0.3944094549881822,0.8706976018739196,0.8503698440250002
2022 UNG,UNG,straddle,2022-08-22,2022-09-16,,False,0.08430943896331378,0.07152330841297232,0.501371417941528,0.958862769219581,0.69134984415025
2022 UNG,UNG,straddle,2022-09-19,2022-10-21,,False,0.18725983572531935,0.17634261012021302,0.32832700507091994,0.836990394051481,0.80952756890625
2022 UNG,UNG,straddle,2022-10-24,2022-11-18,,False,0.1824682275873338,0.1696115050509484,0.6303654083786329,0.965220564939396,0.88123560382225
2022 UNG,UNG,straddle,2022-11-21,2022-12-16,,False,0.2029117197385919,0.1950511301452523,0.8198046229028113,1.4997235039132668,1.3165026647102502
2022 UNG,UNG,straddle,2022-12-19,2023-01-20,,False,-0.006690484674928422,-0.014093352916422029,0.749686757207533,0.9679994029263956,0.8782341910222501
2022 UNG,UNG,strip,2021-12-20,2022-01-21,,False,-0.31214523330574484,-0.3418326465520634,0.6606391438136539,0.49519635423582564,0.43482550456900004
2022 UNG,UNG,strip,2022-01-24,2022-02-18,,False,-0.885002107959281,-0.927384909604979,0.7099214738216938,0.32825344232386056,0.27163536778225
2022 UNG,UNG,strip,2022-02-22,2022-03-18,,False,0.40447500278102605,0.36974619742530596,0.2419266605875192,0.41423246571093647,0.33533885814025
2022 UNG,UNG,strip,2022-03-21,2022-04-14,,False,0.2143173403095536,0.1803315806177539,0.2857616859969285,0.31657808150603367,0.26811217982025
2022 UNG,UNG,strip,2022-04-18,2022-05-20,rule 2 floor,False,0.03220432350191595,0.00768261220073877,0.7063016254864652,0.7267519423334596,0.750517272976
2022 UNG,UNG,strip,2022-05-23,2022-06-17,rule 2 floor,False,0.10011980984100494,0.06280875542159084,0.8500074285686123,0.8912745192242173,0.88644955371025
2022 UNG,UNG,strip,2022-06-21,2022-07-15,,False,-0.6870534397164367,-0.7400804327251118,0.8757116623331167,0.5196833313425127,0.448293185209
2022 UNG,UNG,strip,2022-07-18,2022-08-19,,False,0.47928645978138157,0.4545022446376242,0.3944094549881822,0.8706976018739196,0.8503698440250002
2022 UNG,UNG,strip,2022-08-22,2022-09-16,rule 2 floor,False,0.5941462597370293,0.460113419722699,0.501371417941528,0.958862769219581,0.69134984415025
2022 UNG,UNG,strip,2022-09-19,2022-10-21,,False,0.4647154628199452,0.43819321784993565,0.32832700507091994,0.836990394051481,0.80952756890625
2022 UNG,UNG,strip,2022-10-24,2022-11-18,rule 2 floor,False,0.35275148833157255,0.32314063513464025,0.6303654083786329,0.965220564939396,0.88123560382225
2022 UNG,UNG,strip,2022-11-21,2022-12-16,,False,0.48820350554549297,0.443690808923202,0.8198046229028113,1.4997235039132668,1.3165026647102502
2022 UNG,UNG,strip,2022-12-19,2023-01-20,,False,0.24828640371262173,0.19860774591717711,0.749686757207533,0.9679994029263956,0.8782341910222501
