ticker,bucket,cycle_day,mid,unclassified,zero bid,carried,leg_days,share_mid,share_zero_bid,share_carried,share_unclassified
GLD,-1 to 0,9,2060,0,3,0,2063,0.9985458070770722,0.001454192922927775,0.0,0.0
GLD,-1 to 0,10,2061,0,2,0,2063,0.9990305380513815,0.0009694619486185168,0.0,0.0
GLD,-1 to 0,11,2057,0,6,0,2063,0.9970916141541445,0.00290838584585555,0.0,0.0
GLD,-1 to 0,12,2047,0,16,0,2063,0.9922443044110518,0.007755695588948134,0.0,0.0
GLD,-1 to 0,13,2023,0,40,0,2063,0.9806107610276297,0.019389238972370333,0.0,0.0
GLD,-1 to 0,14,1990,0,73,0,2063,0.9646146388754241,0.03538536112457586,0.0,0.0
GLD,-1 to 0,15,1948,2,113,0,2063,0.9442559379544353,0.054774600096946194,0.0,0.0009694619486185168
GLD,-1 to 0,16,1853,1,200,0,2054,0.9021421616358325,0.09737098344693282,0.0,0.0004868549172346641
GLD,-1 to 0,17,1628,4,324,0,1956,0.8323108384458078,0.1656441717791411,0.0,0.002044989775051125
GLD,-1 to 0,18,1108,1,213,0,1322,0.8381240544629349,0.16111951588502268,0.0,0.0007564296520423601
GLD,-1 to 0,19,650,2,82,0,734,0.885558583106267,0.11171662125340599,0.0,0.0027247956403269754
GLD,-1 to 0,20,608,1,125,0,734,0.8283378746594006,0.17029972752043596,0.0,0.0013623978201634877
GLD,-1 to 0,21,540,2,137,0,679,0.7952871870397643,0.20176730486008837,0.0,0.0029455081001472753
GLD,-1 to 0,22,403,1,131,0,535,0.7532710280373832,0.24485981308411214,0.0,0.001869158878504673
GLD,-1 to 0,23,167,0,103,0,270,0.6185185185185185,0.3814814814814815,0.0,0.0
GLD,0 to 1,0,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,1,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,2,1951,1,0,0,1952,0.9994877049180327,0.0,0.0,0.0005122950819672131
GLD,0 to 1,3,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,4,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,5,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,6,1952,0,0,0,1952,1.0,0.0,0.0,0.0
GLD,0 to 1,7,1950,0,2,0,1952,0.9989754098360656,0.0010245901639344263,0.0,0.0
GLD,0 to 1,8,1950,1,1,0,1952,0.9989754098360656,0.0005122950819672131,0.0,0.0005122950819672131
GLD,0 to 1,9,1950,0,2,0,1952,0.9989754098360656,0.0010245901639344263,0.0,0.0
GLD,0 to 1,10,1945,1,6,0,1952,0.9964139344262295,0.0030737704918032786,0.0,0.0005122950819672131
