ticker,arm,entry_year,leg_days,absent_share,delta_null_share,share_opprcd_delta,share_black_scholes_own_iv,share_black_scholes_prior_iv,share_carried
GLD,straddle,2011,478,0.0,0.014644351464435146,0.9853556485355649,0.0,0.014644351464435146,0.0
GLD,straddle,2012,476,0.0,0.012605042016806723,0.9873949579831933,0.0,0.0063025210084033615,0.0063025210084033615
GLD,straddle,2013,478,0.0,0.006276150627615063,0.9937238493723849,0.0,0.006276150627615063,0.0
GLD,straddle,2014,478,0.0,0.012552301255230125,0.9874476987447699,0.0,0.010460251046025104,0.0020920502092050207
GLD,straddle,2015,478,0.0,0.02092050209205021,0.9790794979079498,0.0,0.016736401673640166,0.0041841004184100415
GLD,straddle,2016,486,0.0,0.02880658436213992,0.9711934156378601,0.0,0.024691358024691357,0.00411522633744856
GLD,straddle,2017,478,0.0,0.02092050209205021,0.9790794979079498,0.0,0.01882845188284519,0.0020920502092050207
GLD,straddle,2018,478,0.0,0.014644351464435146,0.9853556485355649,0.0,0.012552301255230125,0.0020920502092050207
GLD,straddle,2019,478,0.0,0.043933054393305436,0.9560669456066946,0.0,0.02510460251046025,0.01882845188284519
GLD,straddle,2020,478,0.0,0.014644351464435146,0.9853556485355649,0.0,0.010460251046025104,0.0041841004184100415
GLD,straddle,2021,488,0.0,0.02459016393442623,0.9754098360655737,0.0,0.01639344262295082,0.00819672131147541
GLD,straddle,2022,476,0.0,0.023109243697478993,0.976890756302521,0.0,0.014705882352941176,0.008403361344537815
GLD,straddle,2023,476,0.0,0.03361344537815126,0.9663865546218487,0.0,0.023109243697478993,0.01050420168067227
GLD,straddle,2024,476,0.0,0.03361344537815126,0.9663865546218487,0.0,0.02100840336134454,0.012605042016806723
GLD,straddle,2025,274,0.0,0.040145985401459854,0.9598540145985401,0.0,0.010948905109489052,0.029197080291970802
GLD,straddle,ALL,8218,0.0,0.023119980530542712,0.9768800194694572,0.0,0.015940618155268923,0.007179362375273789
GLD,strip,2008,6769,0.0,0.008863938543359432,0.9911360614566406,0.0,0.006500221598463584,0.0023637169448958487
GLD,strip,2009,10103,0.0,0.00465208353954271,0.9953479164604573,0.0,0.0033653370286053645,0.0012867465109373452
GLD,strip,2010,13779,0.0,0.001596632556789317,0.9984033674432107,0.0,0.0013063357282821686,0.0002902968285071486
GLD,strip,2011,17970,0.0,0.0031163049526989426,0.996883695047301,0.0,0.0028937117417918755,0.00022259321090706732
GLD,strip,2012,18279,0.0,0.002461841457410143,0.9975381585425899,0.0,0.0015865200503309808,0.0008753214070791619
GLD,strip,2013,14887,0.0,0.0007388997111573856,0.9992611002888426,0.0,0.0007388997111573856,0.0
GLD,strip,2014,13987,0.0,0.0030742832630299565,0.9969257167369701,0.0,0.002430828626581826,0.0006434546364481304
GLD,strip,2015,17827,0.0,0.003029113142985359,0.9969708868570146,0.0,0.0028047343916531103,0.00022437875133224884
GLD,strip,2016,19388,0.0,0.004332576851660821,0.9956674231483392,0.0,0.004023107076542191,0.0003094697751186301
GLD,strip,2017,13802,0.0,0.0031879437762643097,0.9968120562237357,0.0,0.002898130705694827,0.0002898130705694827
GLD,strip,2018,14135,0.0,0.0019808984789529537,0.998019101521047,0.0,0.001839405730456314,0.00014149274849663954
GLD,strip,2019,13134,0.0,0.007309273640931932,0.9926907263590681,0.0,0.004948987361047662,0.00236028627988427
GLD,strip,2020,23364,0.0,0.0022256462934429036,0.9977743537065571,0.0,0.0021400445129258687,8.560178051703475e-05
GLD,strip,2021,20246,0.0,0.0037044354440383285,0.9962955645559617,0.0,0.002914155882643485,0.0007902795613948434
GLD,strip,2022,21673,0.0,0.003506667281871453,0.9964933327181286,0.0,0.0023992986665436256,0.0011073686153278272
GLD,strip,2023,19412,0.0,0.004378734803214507,0.9956212651967855,0.0,0.002678755409025345,0.0016999793941891612
GLD,strip,2024,19805,0.0,0.002827568795758647,0.9971724312042414,0.0,0.0023226457965160314,0.0005049229992426155
GLD,strip,2025,14944,0.0,0.0047510706638115635,0.9952489293361885,0.0,0.0023420770877944324,0.0024089935760171306
GLD,strip,ALL,293504,0.0,0.0034241441343218493,0.9965758558656782,0.0,0.002640509158307894,0.0007836349760139555
SLV,straddle,2008,34,0.0,0.0,1.0,0.0,0.0,0.0
SLV,straddle,2009,478,0.0,0.04602510460251046,0.9539748953974896,0.0,0.027196652719665274,0.01882845188284519
SLV,straddle,2010,488,0.0,0.0430327868852459,0.9569672131147541,0.0,0.02459016393442623,0.018442622950819672
SLV,straddle,2011,478,0.0,0.03347280334728033,0.9665271966527197,0.0,0.02301255230125523,0.010460251046025104
SLV,straddle,2012,476,0.0,0.014705882352941176,0.9852941176470589,0.0,0.012605042016806723,0.0021008403361344537
SLV,straddle,2013,478,0.0,0.012552301255230125,0.9874476987447699,0.0,0.010460251046025104,0.0020920502092050207
SLV,straddle,2014,478,0.0,0.016736401673640166,0.9832635983263598,0.0,0.012552301255230125,0.0041841004184100415
SLV,straddle,2015,478,0.0,0.01882845188284519,0.9811715481171548,0.0,0.014644351464435146,0.0041841004184100415
SLV,straddle,2016,486,0.0,0.026748971193415638,0.9732510288065843,0.0,0.02263374485596708,0.00411522633744856
SLV,straddle,2017,478,0.0,0.03347280334728033,0.9665271966527197,0.0,0.02510460251046025,0.008368200836820083
SLV,straddle,2018,478,0.0,0.014644351464435146,0.9853556485355649,0.0,0.014644351464435146,0.0
SLV,straddle,2019,478,0.0,0.02510460251046025,0.9748953974895398,0.0,0.014644351464435146,0.010460251046025104
SLV,straddle,2020,478,0.0,0.03347280334728033,0.9665271966527197,0.0,0.02092050209205021,0.012552301255230125
SLV,straddle,2021,488,0.0,0.030737704918032786,0.9692622950819673,0.0,0.020491803278688523,0.010245901639344262
SLV,straddle,2022,476,0.0,0.03991596638655462,0.9600840336134454,0.0,0.012605042016806723,0.0273109243697479
